章,セクション,項目,内容詳細,学習時間,ページ
第1章 AI（人工知能）,AI（人工知能）の定義,AIとは,AI（Artificial Intelligence）は、人間の知能に近い人工的な知能を持ったコンピュータと定義されています。明確な定義は定まっていませんが、一般的には「人間の知能に近い人工的な知能を持ったコンピュータ」と見なされています。,30分,p.11
第1章 AI（人工知能）,AI（人工知能）の定義,AIとロボットの区別,AIは人間の知能の一部を再現する能力を持ち、ソフトウェアやアプリケーションの形で存在します。一方、ロボットは物理的な動作を実行するためのハードウェアです。AIは「脳」に相当し、ロボットは「身体」に相当します。,20分,p.12
第1章 AI（人工知能）,AIに知能をもたらす仕組み,ルールベース,人間が事前に作成したルールや知識をプログラムに組み込む技術,30分,p.14
第1章 AI（人工知能）,AIに知能をもたらす仕組み,機械学習,統計的手法やアルゴリズムを用いて、大量のデータから機械が学習する技術,60分,p.15-26
第1章 AI（人工知能）,AIに知能をもたらす仕組み,教師あり学習,入力データと正解データのペアを与えてモデルをトレーニング,30分,p.16
第1章 AI（人工知能）,AIに知能をもたらす仕組み,教師なし学習,正解データを与えず、データ自体のパターンや構造を発見,30分,p.17
第1章 AI（人工知能）,AIに知能をもたらす仕組み,強化学習,目標達成に近づくたびに報酬を与えて最適な行動を学習,30分,p.18
第1章 AI（人工知能）,AIに知能をもたらす仕組み,過学習,訓練データに過剰に適合し、未知のデータへの予測精度が低下する現象,20分,p.25
第1章 AI（人工知能）,AIの種類,AIの4つのレベル,単純な制御プログラムからディープラーニングまでの4段階,30分,p.27-28
第1章 AI（人工知能）,AIの種類,弱いAI（ANI）と強いAI（AGI）,特定のタスクに特化したAIと人間並みの知能を持つ理論的なAI,20分,p.29
第1章 AI（人工知能）,AIの歴史,第一次AIブーム,1956年〜1970年代、探索と推論に焦点,15分,p.30
第1章 AI（人工知能）,AIの歴史,第二次AIブーム,1980年代後半〜1990年代初頭、エキスパートシステム,15分,p.30
第1章 AI（人工知能）,AIの歴史,第三次AIブーム,2010年代〜現在、ビッグデータとディープラーニング,15分,p.31
第1章 AI（人工知能）,シンギュラリティ,技術的特異点,AIが人間を超越し、知能的に自己進化する状態,15分,p.32
第2章 生成AI（ジェネレーティブAI）,生成AIとは,生成モデルの誕生,ボルツマンマシン、制約付きボルツマンマシンの発展,30分,p.35
第2章 生成AI（ジェネレーティブAI）,生成AIとは,自己回帰モデルとディープラーニング,過去のデータを使って次のデータを予測する方法,30分,p.36
第2章 生成AI（ジェネレーティブAI）,生成AIとは,CNN,畳み込みニューラルネットワーク、画像認識に効果的,30分,p.36
第2章 生成AI（ジェネレーティブAI）,生成AIとは,VAE,変分オートエンコーダ、データの次元削減やデータ生成,30分,p.37
第2章 生成AI（ジェネレーティブAI）,生成AIとは,GAN,敵対的生成ネットワーク、生成器と識別器の競争,30分,p.38
第2章 生成AI（ジェネレーティブAI）,生成AIとは,RNN,回帰型ニューラルネットワーク、時系列データの処理,30分,p.39
第2章 生成AI（ジェネレーティブAI）,生成AIとは,LSTM,長・短期記憶、より長い時間の依存関係を学習,30分,p.40
第2章 生成AI（ジェネレーティブAI）,生成AIとは,Transformer,CNNやRNNを使わずAttention層のみで構築,45分,p.40-42
第2章 生成AI（ジェネレーティブAI）,ChatGPT,ChatGPTとは,OpenAIが開発した対話型AI、2022年11月発表,30分,p.45
第2章 生成AI（ジェネレーティブAI）,ChatGPT,GPTの歴史,GPT-1からGPT-4oまでの進化,60分,p.46-52
第2章 生成AI（ジェネレーティブAI）,現在の生成AIの動向,テキスト生成AI,自然言語処理と機械学習による文章生成,30分,p.55
第2章 生成AI（ジェネレーティブAI）,現在の生成AIの動向,画像生成AI,DALL-E、Midjourney、Stable Diffusion等,30分,p.58
第2章 生成AI（ジェネレーティブAI）,現在の生成AIの動向,音楽生成AI,AIによる音楽作品の創作,15分,p.62
第2章 生成AI（ジェネレーティブAI）,現在の生成AIの動向,音声生成AI,AIによる自然な音声合成,15分,p.65
