問題ID,章,問題内容,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
1,第1章 AI（人工知能）,「ANI」「AGI」の説明として、最も正しい記述を1つ選びなさい,ANIは特定のタスクを実行するために設計されたAIで、AGIは人間と同じレベルの認知能力を持つAIを指す,ANIは人間と対話する能力を持つAIで、AGIは人間と対話する能力を持たないAIを指す,ANIは既に商用化されているAIで、AGIは実用化される直前のAIを指す,ANIは複数のタスクを同時に実行する能力を持つAIで、AGIは1つのタスクに特化したAIを指す,ANIは特定のタスクを実行するために設計されたAIで、AGIは人間と同じレベルの認知能力を持つAIを指す,ANI（Artificial Narrow Intelligence）は特定のタスクに特化したAI、AGI（Artificial General Intelligence）は人間と同等の汎用的な知能を持つAIです。
2,第1章 AI（人工知能）,三度のAIブームに関する記述として正しい文章を1つ選びなさい,第二次AIブームは1990年代に始まり、ルールベースのシステムが注目された,第三次AIブームは2010年代に始まり、ビッグデータの活用とディープラーニング技術の発展が主な特徴である,第一次AIブームではエキスパートシステムが主に開発され、その結果としてAIの非実用的なシステムが増えたため「AIの冬」が訪れた,第二次AIブームでは、ビッグデータとディープラーニングが主に活用され、AI技術が広く普及した,第三次AIブームは2010年代に始まり、ビッグデータの活用とディープラーニング技術の発展が主な特徴である,第三次AIブームは2010年代から始まり、ビッグデータの活用とディープラーニング技術の発展が主な特徴です。
3,第1章 AI（人工知能）,クラスタリングについて正しく説明している文章を1つ選びなさい,与えられたデータを似た特徴やパターンを持つグループに分類することである,データの未知の因果関連を予測するための統計的手法である,過去のデータを基に未来の値を予測する手法である,与えられたデータをランダムに2つのグループに分ける手法である,与えられたデータを似た特徴やパターンを持つグループに分類することである,クラスタリングは、データを似た特徴やパターンを持つグループに分類する教師なし学習の手法です。
4,第1章 AI（人工知能）,過学習を防ぐための代表的な手法をすべて選びなさい（複数選択可）,ドロップアウト,シーケンスの並行処理,RLHF,正則化,ドロップアウト・正則化,ドロップアウトと正則化は過学習を防ぐ代表的な手法です。シーケンスの並行処理やRLHFは過学習防止の手法ではありません。
5,第1章 AI（人工知能）,ルールベースを用いたAIの問題点について正しく記述している文章を1つ選びなさい,機械学習に比べ、簡単なタスクを遂行させる際にもコストが多くかかってしまう,複雑な問題に対処するために大量のルールが必要であり、それらの管理が困難になる,適切な量の高品質な訓練データがない場合、モデルは適切に学習できないことがある,条件分岐が多い問題に対して対処することができない,複雑な問題に対処するために大量のルールが必要であり、それらの管理が困難になる,ルールベースAIは複雑な問題に対処するため大量のルールが必要となり、それらの管理が困難になることが主な問題点です。
6,第1章 AI（人工知能）,転移学習について正しく説明している文章を1つ選びなさい,学習済みのモデルを捨て、新しいタスクに対して完全に新しいモデルを作り直す手法,1つの問題で学習したモデルの知識を、別の問題へ適用する手法,異なるタスク間で交互にデータセットを与え学習を行う手法,複数の異なるデータセットを同時に学習する手法,1つの問題で学習したモデルの知識を、別の問題へ適用する手法,転移学習は、1つの問題で学習したモデルの知識を、別の問題へ適用する手法です。
7,第1章 AI（人工知能）,「第一次AIブーム」の説明として誤っている記述を1つ選びなさい,ブーム中に自然言語処理や機械学習などの新しい技術が発展した,30年以上もの期間にわたって続き、主に自然言語処理と機械学習に焦点を当てたAI研究が進展した,ルールベースのシステムが複雑な問題に対応できないことが明らかになったことで、急速に終息した,1956年にダートマス会議で始まり、主に探索と推論に焦点を当てたAI研究が進展した,30年以上もの期間にわたって続き、主に自然言語処理と機械学習に焦点を当てたAI研究が進展した,第一次AIブームは1956年〜1970年代で、約15年程度の期間でした。30年以上続いたという記述は誤りです。
8,第1章 AI（人工知能）,AIのバイアスが生じる主な原因は何か,学習データに含まれる人間のバイアス,AIの計算能力の限界,ハードウェアの性能,プログラミング言語の制約,学習データに含まれる人間のバイアス,AIのバイアスは、学習データに含まれる人間の偏見や社会的なバイアスが反映されることで生じます。
9,第1章 AI（人工知能）,AIと機械学習の関係について、最も適切な説明を1つ選びなさい,AIと機械学習は全く異なる技術である,機械学習はAIを実現するための手法の一つである,AIは機械学習の一部の技術である,AIと機械学習は同じ意味である,機械学習はAIを実現するための手法の一つである,機械学習は、AIを実現するための主要な手法の一つです。AIはより広い概念で、機械学習以外の手法も含みます。
10,第1章 AI（人工知能）,教師あり学習の特徴として最も適切なものはどれか,正解データを与えずにパターンを発見する,入力データと正解データのペアで学習する,報酬を最大化するように行動を学習する,データの次元を削減して特徴を抽出する,入力データと正解データのペアで学習する,教師あり学習は、入力データと正解データ（ラベル）のペアを使用してモデルを訓練する機械学習手法です。
